"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"Math",,"2025-01-16","20:30:47","20:30:56","00:00:09","+02:00","false",
"Math","Calc","2025-01-16","20:38:18","20:41:54","00:03:36","+02:00","false","false"
"Math","Calc","2025-01-16","20:49:30","20:50:13","00:00:43","+02:00","false","false"
"Math","Calc","2025-01-16","20:50:15","21:22:03","00:31:48","+02:00","false","false"
"Math","Calc","2025-01-16","21:22:11","21:22:13","00:00:02","+02:00","false","false"
"Math","Calc","2025-01-16","21:22:16","21:22:24","00:00:08","+02:00","false","false"
"Math","Calc","2025-01-16","21:22:28","21:22:30","00:00:02","+02:00","false","false"
"Math","Calc","2025-01-16","21:22:35","21:22:35","00:00:00","+02:00","false","false"
"Math","Calc","2025-01-16","21:22:37","21:22:38","00:00:01","+02:00","false","false"
"Math","Calc","2025-01-16","21:22:39","21:22:41","00:00:02","+02:00","false","false"
"Math","Calc","2025-01-16","21:22:52","21:38:22","00:15:30","+02:00","false","false"
"Math","Calc","2025-01-17","08:57:14","10:00:40","01:03:26","+02:00","false","false"
"Work",,"2025-01-17","10:00:51","10:00:52","00:00:01","+02:00","false",
"Work","Meeting","2025-01-17","10:00:57","10:49:06","00:48:09","+02:00","false","false"
"Work",,"2025-01-17","11:41:15","12:53:58","01:12:43","+02:00","false",
"Math","Calc","2025-01-17","14:07:48","14:20:49","00:13:01","+02:00","false","false"
"Math","Calc","2025-01-17","14:20:51","15:32:00","01:11:09","+02:00","false","false"
"Math","Calc","2025-01-17","15:32:17","16:41:50","01:09:33","+02:00","false","false"
"Math","Calc","2025-01-17","16:57:27","17:45:03","00:47:36","+02:00","false","false"
"Math","Calc","2025-01-17","18:21:36","19:03:39","00:42:03","+02:00","false","false"
"Math","Calc","2025-01-18","10:18:36","11:56:28","01:37:52","+02:00","false","false"
"Math","Calc","2025-01-18","12:50:12","13:25:19","00:35:07","+02:00","false","false"
"Math","Calc","2025-01-18","17:26:20","17:41:32","00:15:12","+02:00","false","false"
"Math","Calc","2025-01-18","17:41:40","19:11:17","01:29:37","+02:00","false","false"
"Math","Calc","2025-01-18","21:02:18","21:54:45","00:52:27","+02:00","false","false"
"Math","Calc","2025-01-19","08:21:50","10:34:07","02:12:17","+02:00","false","false"
"Math","Calc","2025-01-19","11:33:29","13:02:45","01:29:16","+02:00","false","false"
"Math","Calc","2025-01-19","13:13:25","13:22:33","00:09:08","+02:00","false","false"
"Math","Calc","2025-01-19","14:48:12","15:36:28","00:48:16","+02:00","false","false"
"Math","Calc","2025-01-19","16:55:03","18:36:09","01:41:06","+02:00","false","false"
"Math","Calc","2025-01-19","20:50:39","21:19:28","00:28:49","+02:00","false","false"
"Math","Calc","2025-01-20","09:10:05","10:46:30","01:36:25","+02:00","false","false"
"General CS",,"2025-01-20","16:38:32","17:38:23","00:59:51","+02:00","false",
"Finance",,"2025-01-20","18:44:55","18:45:05","00:00:10","+02:00","false",
"Programming",,"2025-01-20","18:45:08","20:27:33","01:42:25","+02:00","false",
"Programming",,"2025-01-20","20:54:51","21:00:35","00:05:44","+02:00","false",
"Work",,"2025-01-21","08:47:10","08:56:03","00:08:53","+02:00","false",
"Programming",,"2025-01-21","08:56:05","09:18:02","00:21:57","+02:00","false",
"General CS",,"2025-01-21","13:22:02","14:16:30","00:54:28","+02:00","false",
"Math","Calc","2025-01-21","16:05:33","16:05:37","00:00:04","+02:00","false","false"
"Math","Linear Algebra","2025-01-21","16:05:54","17:39:35","01:33:41","+02:00","false","false"
"Work",,"2025-01-21","20:14:01","21:22:53","01:08:52","+02:00","false",
"Work",,"2025-01-21","21:41:13","22:24:24","00:43:11","+02:00","false",
"Work",,"2025-01-22","10:06:24","10:40:49","00:34:25","+02:00","false",
"Work",,"2025-01-22","10:44:13","12:40:50","01:56:37","+02:00","false",
"Math","Linear Algebra","2025-01-22","13:40:08","14:51:29","01:11:21","+02:00","false","false"
"Math","Linear Algebra","2025-01-22","14:54:29","16:46:26","01:51:57","+02:00","false","false"
"Math","Linear Algebra","2025-01-22","16:49:25","16:59:33","00:10:08","+02:00","false","false"
"Math","Linear Algebra","2025-01-22","17:02:15","19:40:06","02:37:51","+02:00","false","false"
"Math","Linear Algebra","2025-01-22","19:40:08","19:40:09","00:00:01","+02:00","false","false"
"Math","Linear Algebra","2025-01-22","20:31:18","21:23:26","00:52:08","+02:00","false","false"
"Math","Linear Algebra","2025-01-22","21:29:37","22:13:09","00:43:32","+02:00","false","false"
"General CS",,"2025-01-23","08:22:51","09:50:26","01:27:35","+02:00","false",
"Work",,"2025-01-23","09:50:27","11:19:43","01:29:16","+02:00","false",
"Math","Linear Algebra","2025-01-23","12:57:45","14:13:10","01:15:25","+02:00","false","false"
"Math","Linear Algebra","2025-01-23","14:26:10","14:50:06","00:23:56","+02:00","false","false"
"General CS",,"2025-01-23","17:10:50","19:24:17","02:13:27","+02:00","false",
"General CS",,"2025-01-23","19:26:50","20:20:22","00:53:32","+02:00","false",
"Work",,"2025-01-24","09:27:48","11:02:09","01:34:21","+02:00","false",
"General CS",,"2025-01-24","11:34:58","11:35:07","00:00:09","+02:00","false",
"Machine Learning",,"2025-01-24","11:35:22","11:44:51","00:09:29","+02:00","false",
"Machine Learning",,"2025-01-24","11:51:36","11:52:22","00:00:46","+02:00","false",
"Machine Learning",,"2025-01-24","11:54:25","12:21:56","00:27:31","+02:00","false",
"Machine Learning",,"2025-01-24","12:27:58","12:29:44","00:01:46","+02:00","false",
"Machine Learning",,"2025-01-24","12:32:24","13:09:45","00:37:21","+02:00","false",
"Machine Learning",,"2025-01-24","13:10:52","14:17:47","01:06:55","+02:00","false",
"Machine Learning",,"2025-01-24","15:46:11","16:10:28","00:24:17","+02:00","false",
"Math","Linear Algebra","2025-01-24","16:16:46","16:16:48","00:00:02","+02:00","false","false"
"Machine Learning",,"2025-01-24","16:16:49","16:49:37","00:32:48","+02:00","false",
"Machine Learning",,"2025-01-24","18:30:11","18:33:16","00:03:05","+02:00","false",
"Machine Learning",,"2025-01-24","18:34:16","18:43:44","00:09:28","+02:00","false",
"Machine Learning",,"2025-01-24","18:46:11","20:20:15","01:34:04","+02:00","false",
"Machine Learning",,"2025-01-24","20:20:43","20:27:14","00:06:31","+02:00","false",
"Machine Learning",,"2025-01-25","10:43:56","11:10:05","00:26:09","+02:00","false",
"Math","Calc","2025-01-25","11:10:12","11:40:54","00:30:42","+02:00","false","false"
